name,iso_country,municipality,iata_code
Total Rf Heliport,US,Bensalem,
Aero B Ranch Airport,US,Leoti,
Lowell Field,US,Anchor Point,
Epps Airpark,US,Harvest,
Newport Hospital & Clinic Heliport,US,Newport,
Fulton Airport,US,Alex,
Cordes Airport,US,Cordes,
Goldstone /Gts/ Airport,US,Barstow,
Williams Ag Airport,US,Biggs,
Kitchen Creek Helibase Heliport,US,Pine Valley,
Cass Field,US,Briggsdale,
Grass Patch Airport,US,Bushnell,
Ringhaver Heliport,US,Riverview,
River Oak Airport,US,Okeechobee,
Lt World Airport,US,Lithonia,
Caffrey Heliport,US,Hiram,
Kaupulehu Heliport,US,Kailua/Kona,
Delta Shores Airport,US,Clark Fork,
Goltl Airport,US,McDonald,
Bailey Generation Station Heliport,US,Chesterton,
Hammer Airport,US,Polo,
St Mary Medical Center Heliport,US,Hobart,
Hayenga's Cant Find Farms Airport,US,Kings,
Hayden Farm Airport,US,Gardner,
Robbins Roost Airport,US,Stanford,
Shell Chemical East Site Heliport,US,Gonzales,
Ac & R Components Heliport,US,Chatham,
Lejeune Airport,US,Esterwood,
Slater Field,US,Federalsburg,
Dow Chemical Heliport,US,Ludington,
Battle Lake Municipal Airport,US,Battle Lake,
Cooper Flying Service Airport,US,Alba,
Sands Ranch Airport,US,Havre,
Bucks Airport,US,Bridgeton,
North Raleigh Airport,US,Louisburg,
Colgate-Piscataway Heliport,US,New Brunswick,
Cliche Cove Seaplane Base,US,Beekmantown,
Weiss Airfield,US,West Bloomfield,
Exit 3 Airport,US,Wauseon,
Miami Valley Hospital Heliport,US,Dayton,
Gull Bay Landing Airport,US,Sandsprings,
Steel Systems Heliport,US,Salem,
R J D Heliport,US,Coatesville,
Ferrell Field,US,Mercer,
Thomas Field,US,Loysville,
Mc Kenzie Bridge State Airport,US,Mc Kenzie Bridge,
Flying O Airport,US,Sumter,
Homan Field,US,Gary,
Sw Region Faa Heliport,US,Fort Worth,
Tcjc-Northeast Campus Heliport,US,Fort Worth,
Ragsdale Road Airport,US,Manchester,
Alpine Range Airport,US,Everman,
San Jacinto Methodist Hospital Heliport,US,Baytown,
Clear Creek Ranch Airport,US,Kanab,
Vaughan Airport,US,Alton,
Groundhog Mountain Airport,US,Hillsville,
Lower Granite State Airport,US,Colfax,
Howell Airport,US,Longbranch,
Northern Lite Airport,US,Waupaca,
Hawks Run Airport,US,Asotin,
Lazy J. Aerodrome,US,Beverly,
Mountain View Regional Hospital Heliport,US,Casper,
L P Askew Farms Airport,US,O'Donnell,
Purkeypile Airport,US,Purkeypile,
Providence Seward Medical Center Heliport,US,Seward,
Ware Island Airport,US,Clanton,
Community Hospital of De Queen Heliport,US,De Queen,
Yat Heliport,US,Camp Verde,
Grant Airport,US,Grant,
Lugo Substation Heliport,US,Hesperia,
Swansboro Country Airport,US,Placerville,
Los Angeles County Sheriff's Department Heliport,US,Los Angeles,
St Vincent General Hospital Heliport,US,Leadville,
Berlin Fairgrounds Heliport,US,Berlin,
Rybolt Ranch Airport,US,Orlando,
Advent Health Altamonte Springs Heliport,US,Altamonte Springs,
Cedar Knoll Flying Ranch Airport,US,Geneva,
Medical Center Heliport,US,Columbus,
The Farm Airport,US,Wrightsville,
Stender Airport,US,Maysville,
Lava Hot Springs Airport,US,Lava Hot Springs,
Myers Field,US,Lizton,
Hoopeston Community Memorial Hospital Heliport,US,Hoopeston,
Community Hospital Heliport,US,Anderson,
William E. Koenig Airport,US,Dow,
Hilliard Airpark,US,Hilliard,
Caldwell Municipal Airport,US,Caldwell,
Flying N Ranch Airport,US,Lost Springs,
Lourdes Hospital Heliport,US,Paducah,
Barham Airport,US,Oak Ridge,
Schumaier Restricted Landing Area,US,Pinckneyville,
Country Breeze Airport,US,Slaughter,
Compaq Andover Heliport,US,Andover,
Annapolis Seaplane Base,US,Annapolis,
Saint Peter's Seaplane Base,US,Portage Lake,
Flow Through Terminal Heliport,US,Flint,
Barnes Seaplane Base,US,Cook,
Highway Patrol Troop C Headquarters Heliport,US,Town and Country,
Crystal Lakes Resort Airport,US,Fortine,
Topsail Airpark,US,Holly Ridge,
Detour Airport,US,Wellfleet,
Moore Airfield,US,Canaan,
Albert Guido Memorial Heliport,US,Newark,
Champion Ranch Airport,US,Artesia,
Lantana Ranch Airport,US,Yerington,
Vassar Hospital Heliport,US,Poughkeepsie,
Galion Community Hospital Heliport,US,Galion,
Lawrence Airport,US,Eakly,
Red & White Flying Service Airport,US,Silver Lake,
Pine Heliport,US,Mars,
Bierly(Personal Use) Airport,US,Bellefonte,
Nort's Resort Airport,US,Meshoppen,
York Airport,US,York,
Thirty Thirty Matlock Office Center Heliport,US,Arlington,
Smith Field,US,Forney,
Colonial Air Park,US,Collierville,
St Joseph Hospital Heliport,US,Fort Worth,
Mims Farm Ultralightport,US,Waxahachie,
Duckwater Airport,US,Duckwater,
La Sal Junction Airport,US,La Sal,
Pickles Airport,US,Berryville,
Willapa Harbor Heliport,US,South Bend,
Prehn Cranberry Company Airport,US,Tomah,
Whidbey General Hospital Heliport,US,Coupeville,
Odyssey Heliport,US,Renton,
Keyhole Airport,US,Moorcroft,
Seton Medical Center Hays Heliport,US,Kyle,
Meadowood Ranch Heliport,US,Athens,
Rustic Wilderness Airport,US,Willow,
Bass Field,US,Foley,
Three Rivers Airport,US,Little Rock,
Winchester Farm Airstrip,US,Willcox,
Swepi Beta Platform Ellen Heliport,US,Huntington Beach,
Shannon Field,US,Clarksdale,
Conover Air Lodge Airport,US,Frazier Park,
Mc Cullough Airport,US,Monte Vista,
Strangers Point Heliport,US,Ellington,
Osborn Airfield,US,Groveland,
Cuchens Airport,US,Defuniak Springs,
Doug Bolton Field,US,Commerce,
Etowah Fields Airport,US,Euharlee,
K3 Helipad Heliport,US,Pearl Harbor,
Boone County Hospital Heliport,US,Boone,
Morgan Ranch Airport,US,Cascade,
King Ultralightport,US,Westfield,
Diamond P. Field,US,Muncie,
Condell Medical Center Heliport,US,Libertyville,
Jmj Landing Airport,US,St Marys,
St Claire Healthcare Heliport,US,Morehead,
Boone National Guard Heliport,US,Frankfort,
La State Police Troop G Heliport,US,Bossier City,
Windy Hill Heliport,US,Broussard,
Cuttyhunk Heliport,US,Gosnold,
Garner Field,US,Brandywine,
Nadeau's Airfield,US,Acton,
Fairplains Airpark,US,Greenville,
Greenbush Municipal Airport,US,Greenbush,
Troy Airpark,US,Troy,
Watts Field,US,Rochdale,
Barrett Field,US,Cascade,
Timber Line Airpark,US,Cassville,
Race City Heliport,US,Landis,
Benes Service Airport,US,Valparaiso,
Iroquois Landing Seaplane Base,US,Dummer,
Penske Heliport,US,Piscataway,
Paiute Meadows Airport,US,Winnemucca,
Hansen Heliport,US,Durhamville,
Zimmerman Airport,US,Fremont,
Murtha Airport,US,Conneaut,
Canon Heliport,US,Oklahoma City,
Rowena Dell Airport,US,The Dalles,
Stottle Memorial Heliport,US,Honey Grove,
Lag Iii Heliport,US,Monroeville,
Peco Berwyn Heliport,US,Berwyn,
Cuylers Airport,PR,Vega Baja,
Hughes Ultralightport,US,Tioga,
Harpers Airport,US,Estill,
Wise River Airport,US,Wise River,
Matagorda Shore Facility Heliport,US,Matagorda,
Baylor Medical Center Heliport,US,Waxahachie,
Ellis Field,US,Murfreesboro,
FWOMC Heliport,US,Fort Worth,
The Palms At Kitty Hawk Airport,US,New Home,
Lucin Airport,US,Lucin,
The Greenhouse Airport,US,Culpeper,
Northstar Aviation Heliport,US,Bristol,
Cawleys South Prairie Airport,US,South Prairie,
Beer Airport,US,Hudson,
Fowler Field,US,Tonasket,
JLS Farms Airport,US,Honey Grove,
Seidel Ranch Airport,US,Elroy,
Trapper T Heliport,US,Palmer,
Joe Clouds Seaplane Base,US,Kenai,
Highland Medical Center Heliport,US,Scottsboro,
Hscmh Heliport,US,Malvern,
Thompson International Aviation Airport,US,Hereford,
Grossmont Hospital Heliport,US,La Mesa,
Kugel-Strong Airport,US,Platteville,
Lake Persimmon Airstrip,US,Lake Placid,
Tharpe Airport,US,Bonifay,
Ranger Heliport,US,West Palm Beach,
HIA Airport,US,Statesboro,
Clarks Dream Strip,US,Circleville,
East Field,US,Montezuma,
Flying Y Ranch Airport,US,Council,
Davis Field Ultralightport,US,Mount Vernon,
Wix Airport,US,Monee,
Heinzman Airport,US,Arcadia,
OSF St Anthony's Health Center Heliport,US,Alton,
Valley Grain Heliport,US,Highland,
Flying H Farms Airport,US,Henderson,
Damien Heliport,US,Carville,
Fmc Nr 1 Heliport,US,Winnsboro,
Lakeside Marina Seaplane Base,US,East Winthrop,
Hadley Airport,US,Hadley,
Upper Chesapeake Medical Center Heliport,US,Bel Air,
Maple Ridge Airport,US,Harrison,
Harold Miller Heliport,US,Bay City,
Nauerth Land Ranch Airport,US,Lakefield,
Cahoochie Airport,US,Urbana,
Vicksburg Medical Center Heliport,US,Vicksburg,
Cascade Field,US,Cascade,
Mc Donnell Airport,US,Archie,
Utirik Airport,MH,Utirik Island,UTK
Pilots Ridge Airport,US,Carolina Beach,
Olafson Brothers Airport,US,Edinburg,
Hyde Ranch Airport,US,Comstock,
Lorden Heliport,US,Milford,
At&T Heliport,US,Berkeley Heights,
Llama Ranch Airport,US,Ruby Valley,
Talmage Field,US,Riverhead,
Gibbs Field,US,Fremont,
Marymount Hospital Heliport,US,Garfield Heights,
Sahoma Lake Airport,US,Sapulpa,
Powwatka Ridge Airport,US,Troy,
Collegeville Heliport,US,Collegeville,
M.P. Metals Heliport,US,Berwick,
Sun View Field Airport,US,Bonner Springs,
Ziggy's Field,US,Bellefonte,
Sandy River Airport,US,Sandy,
Seacoast Medical Center Heliport,US,Little River,
Gay Hill Farm Airport,US,Gay Hill,
Barronena Ranch Airport,US,Hebbronville,
Eagles Landing Heliport,US,Sevierville,
Shannon Medical Center Heliport,US,San Angelo,
M D K Field,US,Pearland,
A Z Minerals Corporation Airport,US,Mexican Hat,
Whipoorwill Springs Airport,US,Nokesville,
Spangle Field,US,Spangle,
Zink Airport,US,Berlin,
Aerostone Ranch Airport,US,Goldendale,
Creekside Airport,US,Mertzon,
Phil's Airport,US,Soldotna,
Anniston AHP (Anniston Army Depot),US,Anniston,
Saline Memorial Hospital Heliport,US,Benton,
Chinle Airport,US,Chinle,
Gray Butte Field,US,Palmdale,
Hunt's Sky Ranch Airport,US,Julian,
Shingle Mill Heliport,US,Harwinton,
De Leon Municipal Airport,US,De Leon,
Richards Field,US,Homestead,
Tampa General Hospital Brandon Healthplex Heliport,US,Brandon,
Cross Creek Farms Airport,US,Ormond,
Columbus Southwest Airport,US,Columbus,
Middlekoop Airport,US,Packwood,
Lanham Field,US,Emmett,
Turkey Run Airport,US,New Haven,
Schertz Aerial Service - Hudson Airport,US,Hudson,
Lake Gage Seaplane Base,US,Angola,
Van Gorder Airport,US,Mansfield,
Robinson Industries Heliport,US,Lawrence,
Natchez Trace Farm Airport,US,Hiseville,
St James Heliport,US,Lutcher,
